ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD,DWELLINGS
CAN,Canada,Com,OT,COM3-W3-HC,465.0,73814330.0,133815716.0,82016084.0,40.5,157635.0,289646130.0,339.0,1837.4480921115235,
CAN,Canada,Com,OT,COM3-W3-LC,3895.0,579925141.0,1051326436.0,644361364.0,337.90000000000003,1320405.0,2275612941.0,339.0,1723.420421007191,
CAN,Canada,Com,OT,COM3-W3-MC,1650.0,244401830.0,443068244.0,271557956.0,150.4,559350.0,959028030.0,339.0,1714.5401448109412,
CAN,Canada,Com,OT,COM3-W3-PC,15934.0,2393430158.0,4338967576.0,2659367224.0,1337.1000000000001,5401626.0,9391764958.0,339.0,1738.6921934247207,
CAN,Canada,Com,OT,COM4-MH-HC,21.0,440515152.0,798594720.0,489461280.0,0.0,439929.0,1728571152.0,20949.0,3929.204830779512,
CAN,Canada,Com,OT,COM4-MH-LC,16.0,329769396.0,597827560.0,366410440.0,0.0,335184.0,1294007396.0,20949.0,3860.5882023008257,
CAN,Canada,Com,OT,COM4-MH-MC,31.0,646582464.0,1172167040.0,718424960.0,0.0,649419.0,2537174464.0,20949.0,3906.8374408509762,
CAN,Canada,Com,OT,COM4-MH-PC,49.0,1020465072.0,1849965920.0,1133850080.0,0.0,1026501.0,4004281072.0,20949.0,3900.9032353597318,
CAN,Canada,Com,OT,COM4-W3-HC,821.0,899165667.0,1630066556.0,999072932.0,0.0,1153505.0,3528305155.0,1405.0,3058.7688436547737,
CAN,Canada,Com,OT,COM4-W3-LC,7406.0,6987773960.0,12667897490.0,7764193294.0,0.0,10405430.0,27419864744.0,1405.0,2635.149604004832,
CAN,Canada,Com,OT,COM4-W3-MC,2691.0,2749645125.0,4984737339.0,3055160936.0,0.0,3780855.0,10789543400.0,1405.0,2853.7310740560006,
CAN,Canada,Com,OT,COM4-W3-PC,27340.0,25428000662.0,46097554218.0,28253333083.0,0.0,38412700.0,99778887963.0,1405.0,2597.549455336386,
