ID_0,NAME_0,OCCUPANCY,MACRO_TAXONOMY,TAXONOMY,TAXONOMY_HAZUS,SETTLEMENT,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD
CAN,Canada,COM,CR+,CR+PC/LDUAL/CDM+ERM/H:4-7/COM:3,PC2M/MC/COM4,TOTAL,66.0,567228812.0,141807204.0,0.0,226439.0,709036016.0,104120.0,0.0,3431.0,2505.0,,
CAN,Canada,IND,CR+,CR+PC/LDUAL/CDM+ERM/H:4-7/IND:2,PC2M/MC/IND2,TOTAL,3.0,5341953.0,1780650.0,0.0,4147.0,7122603.0,1888.0,0.0,1382.0,1288.0,,
CAN,Canada,IND,CR+,CR+PC/LDUAL/CDM+ERM/H:4-7/IND:6,PC2M/MC/IND6,TOTAL,1.0,1506395.0,502132.0,0.0,1170.0,2008527.0,532.0,0.0,1170.0,1288.0,,
CAN,Canada,COM,CR+,CR+PC/LDUAL/CDM+ERM/H:>8/COM:3,PC2H/MC/COM4,TOTAL,7.0,343773756.0,85943440.0,0.0,137235.0,429717191.0,63262.0,0.0,19605.0,2505.0,,
CAN,Canada,COM,CR-,CR+PC/LDUAL/CDN+ERL/H:1-3/COM:1,PC2L/PC/COM1,TOTAL,605.0,1160330208.0,290082534.0,0.0,463206.0,1450412720.0,212272.0,0.0,766.0,2505.0,,
CAN,Canada,COM,CR-,CR+PC/LDUAL/CDN+ERL/H:1-3/COM:2,PC2L/PC/COM2,TOTAL,2911.0,11255704091.0,2813926026.0,0.0,4493295.0,14069630217.0,2059116.0,0.0,1544.0,2505.0,,
CAN,Canada,COM,CR-,CR+PC/LDUAL/CDN+ERL/H:1-3/COM:3,PC2L/PC/COM4,TOTAL,1244.0,4146986330.0,1036746635.0,0.0,1655484.0,5183732959.0,758650.0,0.0,1331.0,2505.0,,
CAN,Canada,COM,CR-,CR+PC/LDUAL/CDN+ERL/H:1-3/COM:3A,PC2L/PC/COM5,TOTAL,8.0,8813367.0,2203343.0,0.0,3518.0,11016710.0,1612.0,0.0,440.0,2505.0,,
CAN,Canada,COM,CR-,CR+PC/LDUAL/CDN+ERL/H:1-3/COM:3B,PC2L/PC/COM3,TOTAL,27.0,22388968.0,5597242.0,0.0,8938.0,27986207.0,4096.0,0.0,331.0,2505.0,,
CAN,Canada,IND,CR-,CR+PC/LDUAL/CDN+ERL/H:1-3/IND:1,PC2L/PC/IND1,TOTAL,100.0,192952769.0,64317601.0,0.0,149808.0,257270350.0,67912.0,0.0,1498.0,1288.0,,
