ID_0,NAME_0,OCCUPANCY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
DOM,Dominican Republic,Ind,39888.128679895875,11956209531.890644,8209688770.415658,7057101603.956344,0.0,0.0,27538094.355601486,27222999822.533974,690.3832109196197,988.5578671857728
DOM,Dominican Republic,Res,2590470.0,52233796522.87453,85291570199.71648,88322415446.08957,3167697.0,10397684.697040513,313394594.13470936,225847782163.72513,120.97981993024793,720.6498975749621
SLV,El Salvador,Com,122999.27067510519,6589213342.936633,6657659922.0511,4742152025.129314,0.0,0.0,24925838.368094634,17989025284.856827,202.6502940325123,721.7019150650913
SLV,El Salvador,Ind,19959.869530194235,6277016041.704071,4581280434.715828,2873961336.6965084,0.0,0.0,23297619.227383893,13732257824.428076,1167.223021780803,589.427515764669
SLV,El Salvador,Res,1473722.0,22750089494.38548,32679897370.034805,44724972282.692986,1633863.0,6205691.035644947,183196132.21752524,100154959147.11328,124.30847352317821,546.7089175670493
GRD,Grenada,Com,1348.0,172942862.4,127487190.6,150263883.0,0.0,0.0,397302.0,450693936.0,294.73442136498517,1134.3862754277602
GRD,Grenada,Ind,628.0,79730815.5,44632570.5,35526204.0,0.0,0.0,360210.30934343435,159889590.0,573.5832951328572,443.8784394911832
GRD,Grenada,Res,31022.0,841543877.475,825098860.404,1138306667.841,32704.0,110856.0,10388389.038333334,2804949405.7200003,334.87167295252834,270.0081211215414
GLP,Guadeloupe,Com,3589.0,481360213.356,389126473.758,345190596.366,0.0,0.0,1212922.8,1215677283.48,337.95564224017835,1002.2709470709924
GLP,Guadeloupe,Ind,2131.0,199809618.29999998,111389622.29999998,89044133.39999999,0.0,0.0,985269.2644087939,400243373.99999994,462.3506637300769,406.227402455474
GLP,Guadeloupe,Res,138585.0,2823129744.415,3098916355.475,3697528371.0099998,146371.0,404847.0,35998118.254687496,9619574470.9,259.754794925046,267.2243699751552
GTM,Guatemala,Com,102848.0,8157347115.0,7782634849.0,8792239169.0,0.0,0.0,31044968.0,24732221111.0,301.85290914747975,796.6579675971964
GTM,Guatemala,Ind,33095.0,7679733174.0,4958211278.0,5946678273.0,0.0,0.0,23448606.0,18584622721.0,708.5241275117087,792.5683394995848
GTM,Guatemala,Res,2900647.2,43467361903.16464,61696897703.66181,82217648147.1222,3453435.7,16577112.0,376896302.13009,187381907753.94864,129.93524415175,497.17099025628454
HTI,Haiti,Com,160222.32136968093,2729389892.7897315,2770963217.338748,2187982152.931924,0.0,0.0,19298650.359126195,7688335263.060404,120.44919955065701,398.38719910403705
HTI,Haiti,Ind,32907.76687462323,374281699.42521536,272675111.458727,190240684.48275676,0.0,0.0,2366248.6745499885,837197495.366699,71.90547701292722,353.8079088521483
HTI,Haiti,Res,2342861.0,11778377938.698711,23892403089.039375,24194532529.133823,2508408.0,11542378.394316867,196261040.60856012,59865313556.87191,83.76981844358676,305.0290234436922
HND,Honduras,Com,103800.16582286381,7583947674.321649,7667520828.781922,6369811790.260462,0.0,0.0,37432200.11471353,21621280297.8665,360.6179221196237,577.6117949681454
HND,Honduras,Ind,24129.09920099549,6416009169.349897,4394067368.732595,3421210498.6573167,0.0,0.0,23443671.672085628,14231286984.099718,971.5933229334321,607.0417289218782
HND,Honduras,Res,1989075.0,28729210248.08168,49620714406.985344,59443860290.17529,2277643.0,9759507.80488184,221797583.7005239,137793784945.2423,111.50790377463088,621.2591798623675
JAM,Jamaica,Com,56829.0,5151240298.0,3972461047.0,4134393119.0,0.0,0.0,13630509.0,13258094478.0,239.851290714248,972.677871237237
