ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
VIR,US Virgin Islands,Ind,MUR,IND1-URML-PC,99.0,205563729,115525315,21515391,0.0,87795.22401772368,342604436,886.8204446234715,3902.3129086251506
VIR,US Virgin Islands,Ind,MUR,IND2-URML-LC,86.4,75029220,42165259,7852841,0.0,35526.085441294344,125047320,411.18154445942525,3519.873311306321
VIR,US Virgin Islands,Ind,MUR,IND2-URML-PC,28.799999999999997,25009740,14055087,2617613,0.0,11842.028480431449,41682440,411.18154445942537,3519.873311306321
VIR,US Virgin Islands,Ind,MUR,IND3-URML-LC,57.5,119707200,67274840,12529240,0.0,37696.77846008503,199511280,655.5961471319135,5292.528649663024
VIR,US Virgin Islands,Ind,MUR,IND3-URML-PC,19.1,39902400,22424947,4176413,0.0,12565.592820028342,66503760,657.8844408391801,5292.528649663025
VIR,US Virgin Islands,Ind,MUR,IND4-URML-LC,3.0,7866000,4420692,823308,0.0,2477.0902220122816,13110000,825.6967406707605,5292.5
VIR,US Virgin Islands,Ind,MUR,IND4-URML-PC,1.0,2622000,1473564,274436,0.0,825.6967406707606,4370000,825.6967406707606,5292.499999999999
VIR,US Virgin Islands,Ind,MUR,IND5-URML-LC,1.5,27488257,15448118,2877051,0.0,8656.196976854038,45813428,5770.797984569359,5292.558397469623
VIR,US Virgin Islands,Ind,MUR,IND5-URML-PC,0.5,9162753,5149373,959017,0.0,2885.3991497401985,15271142,5770.798299480397,5292.557877607684
VIR,US Virgin Islands,Ind,MUR,IND6-URML-LC,47.1,19922370,16794559,3127811,0.0,14152.788298885105,39844740,300.4838280018069,2815.327916912231
VIR,US Virgin Islands,Ind,MUR,IND6-URML-PC,15.6,6640790,5598187,1042603,0.0,4717.596099628368,13281580,302.4100063864339,2815.327916912231
