L4,POP,CITY,TIER
803289,71038,Kalamassery,U3
803243,70991,Panaji,U3
803607,70980,Karur,U3
804010,70859,Valparai,U3
803313,70850,Neyyattinkara,U3
802984,70777,Bapatla,U3
800398,70777,Fatehabad,U3
803073,70698,Koppal,U3
802994,70626,Badvel,U3
803846,70545,Tenkasi,U3
800453,70536,Suratgarh,U3
800313,70499,Rishikesh,U3
803576,70467,Palani,U3
801188,70463,Mubarakpur,U3
804025,70115,S.Nallur,U3
803201,69875,Chamarajanagar,U3
064084,69837,Mithe Pur,U3
802532,69779,Mangrol,U3
627437,69752,Beypore,U3
803057,69717,Basavakalyan,U3
064082,69657,Pul Pehlad,U3
801800,69565,Chaibasa,U3
803290,69390,Thrippunithura,U3
802239,69263,Shajapur,U3
803961,69213,Mettupalayam,U3
800276,69069,Sunam Udham Singh Wala,U3
801897,69045,Bhawanipatna,U3
063978,68993,Ziauddin Pur,U3
803041,68938,Jamkhandi,U3
802784,68930,Palghar,U3
802750,68846,Basmath,U3
064083,68796,Taj Pul,U3
803300,68634,Kayamkulam,U3
803948,68619,Dharmapuri,U3
801839,68585,Paradip,U3
800853,68413,Baheri,U3
803783,68090,Kambam,U3
059501,67998,Panipat Taraf Makhdum Zadgan,U3
800240,67972,Nabha,U3
801345,67952,Bihat,U3
801340,67925,Samastipur,U3
802680,67907,Karanja,U3
801666,67864,Suri,U3
801295,67818,Sitamarhi,U3
800597,67798,Rajsamand,U3
801735,67783,Bishnupur,U3
802665,67740,Malkapur,U3
802472,67648,Modasa,U3
802669,67431,Buldana,U3
801849,67414,Dhenkanal,U3
802891,67391,Uran Islampur,U3
801327,67339,Gopalganj,U3
801620,67322,Bongaigaon,U3
803606,67131,Inam Karur,U3
803104,67102,Haveri,U3
803687,66999,Mannargudi,U3
800617,66919,Jhalawar,U3
800254,66847,Tarn Taran,U3
802914,66737,Siddipet,U3
801821,66540,Barbil,U3
802909,66504,Koratla,U3
800841,66204,Sahaswan,U3
801724,66175,Arambag,U3
803839,66034,Puliankudi,U3
802822,65804,Sangamner,U3
800387,65708,Gohana,U3
802997,65706,Pulivendla,U3
548933,65620,Wadgaon Kolhati,U3
800533,65575,Ladnu,U3
800547,65471,Jaisalmer,U3
801304,65437,Supaul,U3
801759,65306,Tamluk,U3
802780,65299,Sinnar,U3
802823,65273,Kopargaon,U3
800199,65240,Jagraon,U3
801642,65232,Alipurduar,U3
802921,65115,Tandur,U3
801042,65056,Rath,U3
803325,64698,Tiruverkadu,U3
802153,64529,Bina-Etawa,U3
802554,64497,Palitana,U3
800516,64417,Chomu,U3
802588,64265,Halol,U3
577573,64234,Kodad,U3
476365,64213,Bangarda Chhota,U3
802975,64149,Tadepalle,U3
803410,64125,Tirupathur,U3
802903,64023,Armur,U3
332821,63957,Bankra,U3
800484,63948,Nawalgarh,U3
803742,63917,Anaiyur,U3
800397,63871,Tohana,U3
801856,63697,Jatani,U3
803412,63671,Arani,U3
