CONTINENT,GEM_REGION,ISO3,COUNTRY,ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,ISO3_NUMERIC,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD,COST_BDG_USD
Africa,Africa,CAF,Central_African_Republic,CAF,Central African Republic,RES,W,700,24158601.0,303603.0,629149532.0,821443517.0,995022219.0,311857.0,1515977.0,2445615257.0,1816465736.0
Africa,Africa,CIV,Ivory_Coast,CIV,Côte d'Ivoire,COM,ADO/E,1152,13103732.0,71459.0,797514502.0,797514502.0,1595029006.0,0.0,0.0,3190058015.0,2392543508.0
Africa,Africa,CIV,Ivory_Coast,CIV,Côte d'Ivoire,COM,MCF,2304,770447.0,4012.0,78556140.0,94267356.0,141401047.0,0.0,0.0,314224543.0,235668403.0
Africa,Africa,CIV,Ivory_Coast,CIV,Côte d'Ivoire,COM,MUR,4608,10654570.0,58192.0,808936610.0,808936610.0,1617873211.0,0.0,0.0,3235746421.0,2426809821.0
Africa,Africa,CIV,Ivory_Coast,CIV,Côte d'Ivoire,COM,RC,1920,932258.0,2470.0,127517419.0,170023225.0,127517419.0,0.0,0.0,425058050.0,297540644.0
Africa,Africa,CIV,Ivory_Coast,CIV,Côte d'Ivoire,COM,W,1152,630332.0,3145.0,73020176.0,83451618.0,52157260.0,0.0,0.0,208629052.0,135608878.0
Africa,Africa,CIV,Ivory_Coast,CIV,Côte d'Ivoire,IND,MCF,1536,361183.0,1264.0,40240281.0,28743065.0,45988897.0,0.0,0.0,114972235.0,74731962.0
Africa,Africa,CIV,Ivory_Coast,CIV,Côte d'Ivoire,IND,MUR,3072,7228139.0,25367.0,479084260.0,319389508.0,798473770.0,0.0,0.0,1596947541.0,1117863278.0
Africa,Africa,CIV,Ivory_Coast,CIV,Côte d'Ivoire,IND,RC,768,361809.0,1272.0,61250059.0,40833370.0,34027807.0,0.0,0.0,136111247.0,74861177.0
Africa,Africa,CIV,Ivory_Coast,CIV,Côte d'Ivoire,IND,S,1536,2650807.0,9307.0,365654544.0,319947728.0,228534084.0,0.0,0.0,914136351.0,548481812.0
Africa,Africa,CIV,Ivory_Coast,CIV,Côte d'Ivoire,RES,ADO/E,1536,140796044.0,1724798.0,4703584251.0,5879480312.0,12934856693.0,1815996.0,9286850.0,23517921255.0,18814337005.0
Africa,Africa,CIV,Ivory_Coast,CIV,Côte d'Ivoire,RES,MCF,2304,9668383.0,109318.0,576826278.0,865239432.0,1442065715.0,121295.0,599395.0,2884131425.0,2307305147.0
Africa,Africa,CIV,Ivory_Coast,CIV,Côte d'Ivoire,RES,MUR,4608,120088490.0,1427994.0,2329417467.0,6988252410.0,13976504812.0,1512090.0,7585155.0,23294174693.0,20964757222.0
Africa,Africa,CIV,Ivory_Coast,CIV,Côte d'Ivoire,RES,OT,768,12109207.0,201819.0,171648032.0,214560035.0,472032082.0,201819.0,1008261.0,858240148.0,686592117.0
Africa,Africa,CIV,Ivory_Coast,CIV,Côte d'Ivoire,RES,RC,1920,11678523.0,88491.0,524064159.0,1746880514.0,1222816357.0,121290.0,599398.0,3493761031.0,2969696871.0
Africa,Africa,CIV,Ivory_Coast,CIV,Côte d'Ivoire,RES,W,1920,102072497.0,1398209.0,3168815184.0,3998920687.0,7918306049.0,1412359.0,7270326.0,15086041920.0,11917226736.0
Africa,Africa,CMR,Cameroon,CMR,Cameroon,COM,ADO/E,360,14456471.0,78836.0,970270824.0,970270824.0,1940541652.0,0.0,0.0,3881083284.0,2910812476.0
Africa,Africa,CMR,Cameroon,CMR,Cameroon,COM,MCF,720,4840887.0,24933.0,544098533.0,652918240.0,979377344.0,0.0,0.0,2176394112.0,1632295584.0
Africa,Africa,CMR,Cameroon,CMR,Cameroon,COM,MUR,1440,13797748.0,75271.0,1118029496.0,1118029496.0,2236058983.0,0.0,0.0,4472117979.0,3354088479.0
Africa,Africa,CMR,Cameroon,CMR,Cameroon,COM,RC,1200,5920517.0,15515.0,893399021.0,1191198697.0,893399021.0,0.0,0.0,2977996747.0,2084597718.0
Africa,Africa,CMR,Cameroon,CMR,Cameroon,COM,W,360,5330158.0,26517.0,680807506.0,778065730.0,486291081.0,0.0,0.0,1945164314.0,1264356811.0
Africa,Africa,CMR,Cameroon,CMR,Cameroon,IND,MCF,480,2800741.0,9835.0,344112386.0,245794556.0,393271299.0,0.0,0.0,983178243.0,639065855.0
Africa,Africa,CMR,Cameroon,CMR,Cameroon,IND,MUR,960,11872844.0,41667.0,828193643.0,552129111.0,1380322751.0,0.0,0.0,2760645512.0,1932451862.0
Africa,Africa,CMR,Cameroon,CMR,Cameroon,IND,RC,480,2865065.0,10062.0,534880626.0,356587077.0,297155898.0,0.0,0.0,1188623600.0,653742975.0
Africa,Africa,CMR,Cameroon,CMR,Cameroon,IND,S,480,5846210.0,20511.0,889316437.0,778151881.0,555822776.0,0.0,0.0,2223291087.0,1333974657.0
Africa,Africa,CMR,Cameroon,CMR,Cameroon,RES,ADO/E,600,87233226.0,1203211.0,2839003807.0,3548754764.0,7807260473.0,1239977.0,6398279.0,14195019039.0,11356015237.0
Africa,Africa,CMR,Cameroon,CMR,Cameroon,RES,MCF,720,51334905.0,580409.0,3377473924.0,5066210886.0,8443684804.0,644002.0,2866843.0,16887369615.0,13509895690.0
Africa,Africa,CMR,Cameroon,CMR,Cameroon,RES,MUR,1440,134143315.0,1595107.0,2788833271.0,8366499819.0,16732999624.0,1689062.0,8267031.0,27888332708.0,25099499443.0
Africa,Africa,CMR,Cameroon,CMR,Cameroon,RES,OT,240,8635332.0,143921.0,134986390.0,168732983.0,371212568.0,143921.0,725322.0,674931942.0,539945551.0
Africa,Africa,CMR,Cameroon,CMR,Cameroon,RES,RC,1200,62887103.0,476513.0,3112047370.0,10373491219.0,7261443851.0,653134.0,2907493.0,20746982438.0,17634935070.0
Africa,Africa,CMR,Cameroon,CMR,Cameroon,RES,W,600,86070324.0,1034547.0,5176609868.0,6821087964.0,6878838805.0,1072363.0,5347379.0,18876536627.0,13699926769.0
Africa,Africa,COD,Democratic_Republic_of_the_Congo,COD,Democratic Republic of the Congo,COM,ADO/E,540,37458164.0,204257.0,1963121933.0,1963121933.0,3926243876.0,0.0,0.0,7852487734.0,5889365809.0
Africa,Africa,COD,Democratic_Republic_of_the_Congo,COD,Democratic Republic of the Congo,COM,MCF,1080,669698.0,3508.0,58817832.0,70581398.0,105872106.0,0.0,0.0,235271314.0,176453504.0
Africa,Africa,COD,Democratic_Republic_of_the_Congo,COD,Democratic Republic of the Congo,COM,MUR,2160,15207045.0,83094.0,991688844.0,991688844.0,1983377660.0,0.0,0.0,3966755309.0,2975066504.0
Africa,Africa,COD,Democratic_Republic_of_the_Congo,COD,Democratic Republic of the Congo,COM,RC,1800,1604262.0,4288.0,188546010.0,251394681.0,188546010.0,0.0,0.0,628486705.0,439940691.0
Africa,Africa,COD,Democratic_Republic_of_the_Congo,COD,Democratic Republic of the Congo,COM,W,540,8114433.0,40373.0,809308799.0,924924341.0,578077702.0,0.0,0.0,2312310841.0,1503002043.0
Africa,Africa,COD,Democratic_Republic_of_the_Congo,COD,Democratic Republic of the Congo,IND,MCF,720,808059.0,2824.0,77524829.0,55374878.0,88599809.0,0.0,0.0,221499531.0,143974687.0
Africa,Africa,COD,Democratic_Republic_of_the_Congo,COD,Democratic Republic of the Congo,IND,MUR,1440,24962420.0,87580.0,1423958221.0,949305474.0,2373263672.0,0.0,0.0,4746527369.0,3322569146.0
Africa,Africa,COD,Democratic_Republic_of_the_Congo,COD,Democratic Republic of the Congo,IND,RC,720,1415153.0,4962.0,206298250.0,137532172.0,114610133.0,0.0,0.0,458440553.0,252142305.0
Africa,Africa,COD,Democratic_Republic_of_the_Congo,COD,Democratic Republic of the Congo,IND,S,720,9061957.0,31799.0,1076402563.0,941852234.0,672751595.0,0.0,0.0,2691006394.0,1614603829.0
Africa,Africa,COD,Democratic_Republic_of_the_Congo,COD,Democratic Republic of the Congo,RES,ADO/E,900,516995495.0,6644785.0,14902020745.0,18627525928.0,40980557050.0,6933960.0,35479905.0,74510103716.0,59608082978.0
Africa,Africa,COD,Democratic_Republic_of_the_Congo,COD,Democratic Republic of the Congo,RES,MCF,1080,13464554.0,152226.0,691739368.0,1037609050.0,1729348412.0,168914.0,939108.0,3458696830.0,2766957462.0
Africa,Africa,COD,Democratic_Republic_of_the_Congo,COD,Democratic Republic of the Congo,RES,MUR,2160,319641635.0,3800893.0,5321036372.0,15963109113.0,31926218222.0,4024778.0,21141052.0,53210363717.0,47889327335.0
Africa,Africa,COD,Democratic_Republic_of_the_Congo,COD,Democratic Republic of the Congo,RES,OT,360,26868938.0,447815.0,327968952.0,409961182.0,901914607.0,447815.0,2277932.0,1639844737.0,1311875789.0
Africa,Africa,COD,Democratic_Republic_of_the_Congo,COD,Democratic Republic of the Congo,RES,RC,1800,32527320.0,246470.0,1256900179.0,4189667269.0,2932767092.0,337810.0,1878174.0,8379334539.0,7122434361.0
Africa,Africa,COD,Democratic_Republic_of_the_Congo,COD,Democratic Republic of the Congo,RES,W,900,422766488.0,5318636.0,16997364928.0,22186638941.0,27004165136.0,5461918.0,27825180.0,66188169004.0,49190804077.0
Africa,Africa,COG,Congo,COG,Republic of the Congo,COM,ADO/E,534,3689303.0,20157.0,248877373.0,248877373.0,497754747.0,0.0,0.0,995509500.0,746632120.0
Africa,Africa,COG,Congo,COG,Republic of the Congo,COM,MCF,1068,97804.0,528.0,11025162.0,13230200.0,19845302.0,0.0,0.0,44100668.0,33075502.0
Africa,Africa,COG,Congo,COG,Republic of the Congo,COM,MUR,1958,1748965.0,9600.0,147139672.0,147139672.0,294279341.0,0.0,0.0,588558681.0,441419013.0
Africa,Africa,COG,Congo,COG,Republic of the Congo,COM,RC,1780,230272.0,646.0,34504015.0,46005362.0,34504015.0,0.0,0.0,115013399.0,80509377.0
Africa,Africa,COG,Congo,COG,Republic of the Congo,COM,W,534,711903.0,3554.0,91394307.0,104450638.0,65281643.0,0.0,0.0,261126587.0,169732281.0
Africa,Africa,COG,Congo,COG,Republic of the Congo,IND,MCF,712,144902.0,504.0,17892496.0,12780360.0,20448572.0,0.0,0.0,51121417.0,33228932.0
Africa,Africa,COG,Congo,COG,Republic of the Congo,IND,MUR,1424,2902335.0,10223.0,213470503.0,142313676.0,355784180.0,0.0,0.0,711568367.0,498097856.0
Africa,Africa,COG,Congo,COG,Republic of the Congo,IND,RC,712,254523.0,899.0,47754914.0,31836608.0,26530513.0,0.0,0.0,106122026.0,58367121.0
Africa,Africa,COG,Congo,COG,Republic of the Congo,IND,S,712,1102077.0,3882.0,168488716.0,147427619.0,105305444.0,0.0,0.0,421221771.0,252733063.0
Africa,Africa,COG,Congo,COG,Republic of the Congo,RES,ADO/E,890,36024910.0,462742.0,1339633897.0,1674542380.0,3683993234.0,482935.0,2076621.0,6698169511.0,5358535614.0
